ID,Citation,Database,Duplicate?,Title/Abstract Decision,Full-Text Decision,Exclusion Reason,Final Status
Q2#23,Qian'ang Mao et al. (2026). SoK: Security of Autonomous LLM Agents in Agentic Commerce. arXiv (Cornell University). doi:10.48550/arxiv.2604.15367,OpenAlex (FastTrack MCP) — Q2,Yes (duplicate of R049),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q2p2#01,"IBRAHIM ADABARA et al. (2025). Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment. F1000Research. doi:10.12688/f1000research.169927.1",OpenAlex (FastTrack MCP) — Q2p2,Yes (duplicate of R028),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q2p2#08,Michał Podpora et al. (2025). LLM Firewall Using Validator Agent for Prevention Against Prompt Injection Attacks. Applied Sciences. doi:10.3390/app16010085,OpenAlex (FastTrack MCP) — Q2p2,Yes (duplicate of R006),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q2p2#12,Songyang Liu et al. (2026). The scales of justitia: A comprehensive survey on safety evaluation of LLMs. Information Fusion. doi:10.1016/j.inffus.2026.104579,OpenAlex (FastTrack MCP) — Q2p2,Yes (duplicate of R034),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q2p2#14,Ronny Ko et al. (2026). Seven security challenges in cross-domain multi-agent LLM systems. npj Artificial Intelligence. doi:10.1038/s44387-026-00128-9,OpenAlex (FastTrack MCP) — Q2p2,Yes (duplicate of R062),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q2p2#15,Apostol Vassilev et al. (2024). Adversarial machine learning :. report. doi:10.6028/nist.ai.100-2e2023,OpenAlex (FastTrack MCP) — Q2p2,Yes (duplicate of R039),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q2p2#16,Erfan Shayegani et al. (2023). Survey of Vulnerabilities in Large Language Models Revealed by Adversarial Attacks. arXiv (Cornell University). doi:10.48550/arxiv.2310.10844,OpenAlex (FastTrack MCP) — Q2p2,Yes (duplicate of R038),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q2p2#20,"Xinyu Huang et al. (2025). Trust in LLM-controlled Robotics: a Survey of Security Threats, Defenses and Challenges. preprint. doi:10.36227/techrxiv.176704885.51786927/v1",OpenAlex (FastTrack MCP) — Q2p2,Yes (duplicate of R045),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q3#12,"Ranjan Sapkota et al. (2025). AI Agents vs. Agentic AI: A Conceptual taxonomy, applications and challenges. Information Fusion. doi:10.1016/j.inffus.2025.103599",OpenAlex (FastTrack MCP) — Q3,Yes (duplicate of R051),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q3#22,Lei Wang et al. (2023). A Survey on Large Language Model based Autonomous Agents. arXiv (Cornell University). doi:10.48550/arxiv.2308.11432,OpenAlex (FastTrack MCP) — Q3,Yes (duplicate of R082),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q4#04,"Niveen O. Jaffal et al. (2025). Large Language Models in Cybersecurity: A Survey of Applications, Vulnerabilities, and Defense Techniques. AI. doi:10.3390/ai6090216",OpenAlex (FastTrack MCP) — Q4,Yes (duplicate of R057),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q4#07,"IBRAHIM ADABARA et al. (2025). Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment. F1000Research. doi:10.12688/f1000research.169927.1",OpenAlex (FastTrack MCP) — Q4,Yes (duplicate of R028),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q4#09,"Andrew Brown et al. (2025). A Systematic Literature Review of Retrieval-Augmented Generation: Techniques, Metrics, and Challenges. Big Data and Cognitive Computing. doi:10.3390/bdcc9120320",OpenAlex (FastTrack MCP) — Q4,Yes (duplicate of R067),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q4#12,Nafiseh Ghaffar Nia et al. (2025). Ethical perspectives on deployment of large language model agents in biomedicine: a survey. AI and Ethics. doi:10.1007/s43681-025-00847-w,OpenAlex (FastTrack MCP) — Q4,Yes (duplicate of R073),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q4#15,Ronny Ko et al. (2026). Seven security challenges in cross-domain multi-agent LLM systems. npj Artificial Intelligence. doi:10.1038/s44387-026-00128-9,OpenAlex (FastTrack MCP) — Q4,Yes (duplicate of R062),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q4#16,"Jinhu Qi et al. (2026). Towards trustworthy agentic AI: a comprehensive survey of safety, robustness, privacy, and system security. Academia AI and Applications. doi:10.20935/acadai8260",OpenAlex (FastTrack MCP) — Q4,Yes (duplicate of R070),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q4#21,"Shaina Raza et al. (2025). TRiSM for Agentic AI: A Review of Trust, Risk, and Security Management in LLM-based Agentic Multi-Agent Systems. arXiv (Cornell University). doi:10.48550/arxiv.2506.04133",OpenAlex (FastTrack MCP) — Q4,Yes (duplicate of R042),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q4#22,Ronny Ko et al. (2025). Seven Security Challenges in Cross-domain Multi-agent LLM Systems. arXiv (Cornell University). doi:10.48550/arxiv.2505.23847,OpenAlex (FastTrack MCP) — Q4,Yes (duplicate of R062),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q4#23,"Bowen Wei et al. (2026). ClawSafety: ""Safe"" LLMs, Unsafe Agents. arXiv (Cornell University). doi:10.48550/arxiv.2604.01438",OpenAlex (FastTrack MCP) — Q4,Yes (duplicate of R048),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q5#06,"Said Gulyamov et al. (2026). Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms. Information. doi:10.3390/info17010054",OpenAlex (FastTrack MCP) — Q5,Yes (duplicate of R002),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q5#10,"Ajay Bandi et al. (2025). The Rise of Agentic AI: A Review of Definitions, Frameworks, Architectures, Applications, Evaluation Metrics, and Challenges. Future Internet. doi:10.3390/fi17090404",OpenAlex (FastTrack MCP) — Q5,Yes (duplicate of R052),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q5#12,Feiran Jia et al. (2025). The Task Shield: Enforcing Task Alignment to Defend Against Indirect Prompt Injection in LLM Agents. conference-paper. doi:10.18653/v1/2025.acl-long.1435,OpenAlex (FastTrack MCP) — Q5,Yes (duplicate of R001),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q5#21,B.‐C. CHEN et al. (2023). Unleashing the potential of prompt engineering for large language models. arXiv (Cornell University). doi:10.48550/arxiv.2310.14735,OpenAlex (FastTrack MCP) — Q5,Yes (duplicate of R103),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q6#01,Kai Greshake et al. (2023). Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection. arXiv (Cornell University). doi:10.1145/3605764.3623985,OpenAlex (FastTrack MCP) — Q6,Yes (duplicate of R136),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q6#03,"Yagmur Yigit et al. (2025). Generative AI and LLMs for Critical Infrastructure Protection: Evaluation Benchmarks, Agentic AI, Challenges, and Opportunities. Sensors. doi:10.3390/s25061666",OpenAlex (FastTrack MCP) — Q6,Yes (duplicate of R123),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q6#07,Yi Wei Dong et al. (2025). Safeguarding large language models: a survey. Artificial Intelligence Review. doi:10.1007/s10462-025-11389-2,OpenAlex (FastTrack MCP) — Q6,Yes (duplicate of R027),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q6#09,"IBRAHIM ADABARA et al. (2025). Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment. F1000Research. doi:10.12688/f1000research.169927.1",OpenAlex (FastTrack MCP) — Q6,Yes (duplicate of R028),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q6#12,Michał Podpora et al. (2025). LLM Firewall Using Validator Agent for Prevention Against Prompt Injection Attacks. Applied Sciences. doi:10.3390/app16010085,OpenAlex (FastTrack MCP) — Q6,Yes (duplicate of R006),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q6#13,Nyashadzashe Tamuka et al. (2026). Securing LLM-based agents against cyberattacks: a comprehensive survey on attack techniques and defense strategies. Journal of Computer Virology and Hacking Techniques. doi:10.1007/s11416-026-00622-3,OpenAlex (FastTrack MCP) — Q6,Yes (duplicate of R008),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q6#16,"Pratik Jalan et al. (2026). Survey on LLM Safety: Attacks, Defenses, Alignment, Metrics, and Guardrails. Machine Learning. doi:10.1007/s10994-026-07060-8",OpenAlex (FastTrack MCP) — Q6,Yes (duplicate of R012),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q6#18,Apostol Vassilev et al. (2024). Adversarial machine learning :. report. doi:10.6028/nist.ai.100-2e2023,OpenAlex (FastTrack MCP) — Q6,Yes (duplicate of R039),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q6#24,Boyang Zhang et al. (2024). Breaking Agents: Compromising Autonomous LLM Agents Through Malfunction Amplification. arXiv (Cornell University). doi:10.48550/arxiv.2407.20859,OpenAlex (FastTrack MCP) — Q6,Yes (duplicate of R146),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q7#01,Qiusi Zhan et al. (2024). InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents. arXiv (Cornell University). doi:10.18653/v1/2024.findings-acl.624,OpenAlex (FastTrack MCP) — Q7,Yes (duplicate of R120),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q7#03,Feiran Jia et al. (2025). The Task Shield: Enforcing Task Alignment to Defend Against Indirect Prompt Injection in LLM Agents. conference-paper. doi:10.18653/v1/2025.acl-long.1435,OpenAlex (FastTrack MCP) — Q7,Yes (duplicate of R001),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q7#04,"Ajay Bandi et al. (2025). The Rise of Agentic AI: A Review of Definitions, Frameworks, Architectures, Applications, Evaluation Metrics, and Challenges. Future Internet. doi:10.3390/fi17090404",OpenAlex (FastTrack MCP) — Q7,Yes (duplicate of R052),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q7#06,"Yagmur Yigit et al. (2025). Generative AI and LLMs for Critical Infrastructure Protection: Evaluation Benchmarks, Agentic AI, Challenges, and Opportunities. Sensors. doi:10.3390/s25061666",OpenAlex (FastTrack MCP) — Q7,Yes (duplicate of R123),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q7#08,Miao Yu et al. (2025). A Survey on Trustworthy LLM Agents: Threats and Countermeasures. conference-paper. doi:10.1145/3711896.3736561,OpenAlex (FastTrack MCP) — Q7,Yes (duplicate of R140),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q7#10,"Mohamad Abou Ali et al. (2025). Agentic AI: a comprehensive survey of architectures, applications, and future directions. Artificial Intelligence Review. doi:10.1007/s10462-025-11422-4",OpenAlex (FastTrack MCP) — Q7,Yes (duplicate of R105),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q7#11,"Yuntao Wang et al. (2023). A Survey on ChatGPT: AI–Generated Contents, Challenges, and Solutions. IEEE Open Journal of the Computer Society. doi:10.1109/ojcs.2023.3300321",OpenAlex (FastTrack MCP) — Q7,Yes (duplicate of R144),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q7#16,Yi Liu et al. (2023). Prompt Injection attack against LLM-integrated Applications. arXiv (Cornell University). doi:10.48550/arxiv.2306.05499,OpenAlex (FastTrack MCP) — Q7,Yes (duplicate of R134),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q7#17,OpenAI et al. (2023). GPT-4 Technical Report. arXiv (Cornell University). doi:10.4230/lipics.cosit.2024.11,OpenAlex (FastTrack MCP) — Q7,Yes (duplicate of R135),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q7#18,B.‐C. CHEN et al. (2023). Unleashing the potential of prompt engineering for large language models. arXiv (Cornell University). doi:10.48550/arxiv.2310.14735,OpenAlex (FastTrack MCP) — Q7,Yes (duplicate of R103),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q7#21,Badhan Chandra Das et al. (2024). Security and Privacy Challenges of Large Language Models: A Survey. arXiv (Cornell University). doi:10.48550/arxiv.2402.00888,OpenAlex (FastTrack MCP) — Q7,Yes (duplicate of R150),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q7#24,Hanrong Zhang et al. (2024). Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents. arXiv (Cornell University). doi:10.48550/arxiv.2410.02644,OpenAlex (FastTrack MCP) — Q7,Yes (duplicate of R139),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q8#02,Mubashar Raza et al. (2025). Industrial applications of large language models. Scientific Reports. doi:10.1038/s41598-025-98483-1,OpenAlex (FastTrack MCP) — Q8,Yes (duplicate of R090),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q9#01,"Ajay Bandi et al. (2025). The Rise of Agentic AI: A Review of Definitions, Frameworks, Architectures, Applications, Evaluation Metrics, and Challenges. Future Internet. doi:10.3390/fi17090404",OpenAlex (FastTrack MCP) — Q9,Yes (duplicate of R052),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q9#03,Shubham Vatsal et al. (2026). Agentic AI in Healthcare and Medicine: A Seven-Dimensional Taxonomy for Empirical Evaluation of LLM-Based Agents. IEEE Access. doi:10.1109/access.2026.3651218,OpenAlex (FastTrack MCP) — Q9,Yes (duplicate of R053),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q9#05,Ahmed Dawod Mohammed Ibrahum et al. (2024). Deep learning adversarial attacks and defenses in autonomous vehicles: a systematic literature review from a safety perspective. Artificial Intelligence Review. doi:10.1007/s10462-024-11014-8,OpenAlex (FastTrack MCP) — Q9,Yes (duplicate of R143),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q9#06,"IBRAHIM ADABARA et al. (2025). Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment. F1000Research. doi:10.12688/f1000research.169927.1",OpenAlex (FastTrack MCP) — Q9,Yes (duplicate of R028),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q9#08,Yi Wei Dong et al. (2025). Safeguarding large language models: a survey. Artificial Intelligence Review. doi:10.1007/s10462-025-11389-2,OpenAlex (FastTrack MCP) — Q9,Yes (duplicate of R027),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q9#09,"Md Monjurul Karim et al. (2025). Transforming Data Annotation with AI Agents: A Review of Architectures, Reasoning, Applications, and Impact. Future Internet. doi:10.3390/fi17080353",OpenAlex (FastTrack MCP) — Q9,Yes (duplicate of R004),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q9#11,"Andrew Brown et al. (2025). A Systematic Literature Review of Retrieval-Augmented Generation: Techniques, Metrics, and Challenges. Big Data and Cognitive Computing. doi:10.3390/bdcc9120320",OpenAlex (FastTrack MCP) — Q9,Yes (duplicate of R067),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q9#15,"Jinhu Qi et al. (2026). Towards trustworthy agentic AI: a comprehensive survey of safety, robustness, privacy, and system security. Academia AI and Applications. doi:10.20935/acadai8260",OpenAlex (FastTrack MCP) — Q9,Yes (duplicate of R070),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q9#18,Nafiseh Ghaffar Nia et al. (2025). Ethical perspectives on deployment of large language model agents in biomedicine: a survey. AI and Ethics. doi:10.1007/s43681-025-00847-w,OpenAlex (FastTrack MCP) — Q9,Yes (duplicate of R073),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q9#20,"Shaina Raza et al. (2025). TRiSM for Agentic AI: A Review of Trust, Risk, and Security Management in LLM-based Agentic Multi-Agent Systems. arXiv (Cornell University). doi:10.48550/arxiv.2506.04133",OpenAlex (FastTrack MCP) — Q9,Yes (duplicate of R042),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q9#22,Maurits Kaptein et al. (2026). Runtime Governance for AI Agents: Policies on Paths. arXiv (Cornell University). doi:10.48550/arxiv.2603.16586,OpenAlex (FastTrack MCP) — Q9,Yes (duplicate of R079),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q9#24,Micha Kaiser et al. (2024). Leveraging LLMs for Predictive Insights in Food Policy and Behavioral Interventions. arXiv (Cornell University). doi:10.48550/arxiv.2411.08563,OpenAlex (FastTrack MCP) — Q9,Yes (duplicate of R196),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#01,Jie Zhang et al. (2025). When LLMs meet cybersecurity: a systematic literature review. Cybersecurity. doi:10.1186/s42400-025-00361-w,OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R124),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#02,"Said Gulyamov et al. (2026). Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms. Information. doi:10.3390/info17010054",OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R002),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#03,Hany F. Atlam (2025). LLMs in Cyber Security: Bridging Practice and Education. Big Data and Cognitive Computing. doi:10.3390/bdcc9070184,OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R158),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#04,Yi Wei Dong et al. (2025). Safeguarding large language models: a survey. Artificial Intelligence Review. doi:10.1007/s10462-025-11389-2,OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R027),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#09,Michał Podpora et al. (2025). LLM Firewall Using Validator Agent for Prevention Against Prompt Injection Attacks. Applied Sciences. doi:10.3390/app16010085,OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R006),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#11,"Tongcheng Geng et al. (2025). Prompt Injection Attacks on Large Language Models: A Survey of Attack Methods, Root Causes, and Defense Strategies. Computers, materials & continua/Computers, materials & continua (Print). doi:10.32604/cmc.2025.074081",OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R147),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#12,Charoes Huang et al. (2026). Model Context Protocol Threat Modeling and Analysis of Vulnerabilities to Prompt Injection with Tool Poisoning. Journal of Cybersecurity and Privacy. doi:10.3390/jcp6030084,OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R009),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#14,Faouzi El Yagoubi et al. (2026). AgentLeak: A Benchmark for Internal-Channel Privacy Leakage in Multi-Agent LLM Systems. IEEE Access. doi:10.1109/access.2026.3704541,OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R011),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#15,Jie Zhang et al. (2024). When LLMs Meet Cybersecurity: A Systematic Literature Review. arXiv (Cornell University). doi:10.48550/arxiv.2405.03644,OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R124),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#16,OpenAI et al. (2023). GPT-4 Technical Report. arXiv (Cornell University). doi:10.4230/lipics.cosit.2024.11,OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R135),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#17,Sander Schulhoff et al. (2024). The Prompt Report: A Systematic Survey of Prompt Engineering Techniques. arXiv (Cornell University). doi:10.48550/arxiv.2406.06608,OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R137),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#18,"Partha Pratim Ray (2025). A Survey on Model Context Protocol: Architecture, State-of-the-art, Challenges and Future Directions. preprint. doi:10.36227/techrxiv.174495492.22752319/v1",OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R040),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#19,Yanna Jiang et al. (2026). SoK: Agentic Skills -- Beyond Tool Use in LLM Agents. arXiv (Cornell University). doi:10.48550/arxiv.2602.20867,OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R015),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#20,D. O. Glukhov et al. (2023). LLM Censorship: A Machine Learning Challenge or a Computer Security Problem?. arXiv (Cornell University). doi:10.48550/arxiv.2307.10719,OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R165),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#21,"Tianxiao Li et al. (2026). Safe Multi-Agent Behavior Must Be Maintained, Not Merely Asserted: Constraint Drift in LLM-Based Multi-Agent Systems. arXiv (Cornell University). doi:10.48550/arxiv.2605.10481",OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R020),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#22,Sam Toyer et al. (2023). Tensor Trust: Interpretable Prompt Injection Attacks from an Online Game. arXiv (Cornell University). doi:10.48550/arxiv.2311.01011,OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R017),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#24,Peiran Wang et al. (2026). Reframing LLM Agent Security as an Agent-Human Interaction Problem. arXiv (Cornell University). doi:10.48550/arxiv.2605.24309,OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R022),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q10#25,"Shaina Raza et al. (2025). TRiSM for Agentic AI: A Review of Trust, Risk, and Security Management in LLM-based Agentic Multi-Agent Systems. arXiv (Cornell University). doi:10.48550/arxiv.2506.04133",OpenAlex (FastTrack MCP) — Q10,Yes (duplicate of R042),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q11#01,Da-Wei Li et al. (2025). From Generation to Judgment: Opportunities and Challenges of LLM-as-a-judge. conference-paper. doi:10.18653/v1/2025.emnlp-main.138,OpenAlex (FastTrack MCP) — Q11,Yes (duplicate of R131),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q11#02,Yi Wei Dong et al. (2025). Safeguarding large language models: a survey. Artificial Intelligence Review. doi:10.1007/s10462-025-11389-2,OpenAlex (FastTrack MCP) — Q11,Yes (duplicate of R027),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q11#03,Shubham Vatsal et al. (2026). Agentic AI in Healthcare and Medicine: A Seven-Dimensional Taxonomy for Empirical Evaluation of LLM-Based Agents. IEEE Access. doi:10.1109/access.2026.3651218,OpenAlex (FastTrack MCP) — Q11,Yes (duplicate of R053),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q11#04,Hyeongyo Jeong et al. (2024). A Survey of Robot Intelligence with Large Language Models. Applied Sciences. doi:10.3390/app14198868,OpenAlex (FastTrack MCP) — Q11,Yes (duplicate of R065),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q11#05,"Said Gulyamov et al. (2026). Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms. Information. doi:10.3390/info17010054",OpenAlex (FastTrack MCP) — Q11,Yes (duplicate of R002),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q11#08,"IBRAHIM ADABARA et al. (2025). Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment. F1000Research. doi:10.12688/f1000research.169927.1",OpenAlex (FastTrack MCP) — Q11,Yes (duplicate of R028),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
