ID,Study,Year,Venue,Agent Type,Threat,Attack Entry,Runtime?,Context,Behavioral,Tool/Action,Multi-Step,Provenance,Decision,Mitigation,Benchmark,Financial Context,Metrics,Main Result,Limitation,Evidence Level
P13,T. Liu et al. (2023) — Demystifying RCE vulnerabilities in LLM-integrated apps,2023,"arXiv preprint, arXiv:2309.02926",LLM-integrated frameworks/apps with code-execution tools,Remote code execution through prompt injection,User prompt to the application,Not Applicable,Yes,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,11 frameworks; LLM-integrated apps,Not Reported,Vulnerabilities found/confirmed,"20 vulnerabilities in 11 frameworks (19 RCE, 1 arbitrary file read/write); 17 confirmed; 11 CVEs",Preprint; framework-level rather than agent-runtime,MODERATE EVIDENCE
P14,X. Jia et al. (2026) — SkillJect: Effectively automating skill-based prompt injection for skill-enabled agents,2026,"arXiv preprint, arXiv:2602.14211",Skill-enabled LLM agents,Poisoned skills (supply-chain prompt injection),Skill instructions and helper scripts,Not Applicable,Yes,Not Applicable,Yes,Not Verified,Not Applicable,Not Applicable,Not Applicable,"Skill-enabled platforms, backends and attack categories (unnamed)",Not Reported,Attack effectiveness (no figures in abstract),Outperforms naive direct injection and prior manual skill-injection attacks,No figures in abstract; preprint,LIMITED EVIDENCE
P15,"Wei et al. (2026) — ClawSafety: ""Safe"" LLMs, unsafe agents",2026,"arXiv preprint, arXiv:2604.01438",Personal agents with elevated local privileges (OpenClaw),"Prompt injection via skill files, emails and web pages",Skill files; emails; web pages,Not Applicable,Yes,Not Applicable,Yes,Not Verified,Not Applicable,Not Applicable,Not Applicable,"120 scenarios; 2,520 sandboxed trials; five LLMs; three frameworks",No (finance is one of five professional domains),ASR,"ASR 40%–75% across models; skill instructions more dangerous than email or web; safety depends on the full deployment stack, not the backbone alone",Preprint; code/data release announced but not verified,MODERATE EVIDENCE
P16,Chennabasappa et al. (2025) — LlamaFirewall: An open source guardrail system for building secure AI agents,2025,"arXiv preprint, arXiv:2505.03574",AI agents,Prompt injection; jailbreak; agent misalignment; insecure code,Untrusted inputs; agent reasoning; generated code,Yes,Yes,Yes,Not Verified,Not Verified,Not Reported,Yes,Not Verified,Not Verified,Not Reported,Not Verified,"Three guardrails: PromptGuard 2 (jailbreak detector), Agent Alignment Checks (chain-of-thought auditor), CodeShield; earlier numeric claims not re-confirmed",Industry preprint; numbers not verified,LIMITED EVIDENCE
P17,Hasan et al. (2026) — Model Context Protocol (MCP) at first glance: Studying the security and maintainability of MCP servers,2026,"ACM TOSEM, doi:10.1145/3814959",MCP servers (tool ecosystem),Server vulnerabilities incl. MCP-specific tool poisoning,Tool servers / tool descriptions,Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"1,899 open-source MCP servers",Not Reported,Vulnerability prevalence,Eight distinct vulnerabilities (three overlap traditional ones); 7.2% of servers with general vulnerabilities; 5.5% with MCP-specific tool poisoning,Static analysis of servers; not runtime behaviour,HIGH EVIDENCE
P18,"Zhu, Zhang, et al. (2025) — SafeScientist: Toward risk-aware scientific discoveries by LLM agents",2025,"arXiv preprint, arXiv:2505.23559",AI-scientist LLM agents,High-risk or unethical tasks; adversarial attacks,Task prompts; tool use; agent collaboration,Yes,Yes,Yes,Yes,Not Verified,Not Reported,Yes,Yes,SciSafetyBench (240 high-risk tasks; 30 tools; 120 tool-related risk tasks),Not Reported,Safety performance; output quality,Safety performance improved by 35% vs. traditional AI-scientist frameworks without loss of output quality (authors),Preprint; refusal-oriented; scientific domain,MODERATE EVIDENCE
P19,"Kaptein, Khan, & Podstavnychy (2026) — Runtime governance for AI agents: Policies on paths",2026,"arXiv preprint, arXiv:2603.16586",AI agents,"Compliance-policy violations (legal, data-breach, reputational)",Not Applicable,Yes,Not Reported,Yes,Yes,Yes,Not Reported,Yes,Not Verified,Not Applicable,Not Reported,Not Applicable,"Formalises policies as functions of agent identity, partial path, proposed next action and organisational state to a policy-violation probability; prompts and static access control are special cases; risk calibration listed as open problem","Formal framework; reference implementation discussed, not evaluated",LIMITED EVIDENCE
P20,Zhan et al. (2024) — InjecAgent: Benchmarking indirect prompt injections in tool-integrated LLM agents,2024,"Findings of ACL 2024, doi:10.18653/v1/2024.findings-acl.624",Tool-integrated LLM agents,Indirect prompt injection (direct harm; data exfiltration),"External content (e.g., emails, websites)",Not Applicable,Yes,Not Applicable,Yes,No (short cases),Not Applicable,Not Applicable,Not Applicable,"InjecAgent: 1,054 cases, 17 user tools, 62 attacker tools; 30 agents",Not Reported,ASR,ReAct-prompted GPT-4 vulnerable 24% of the time; nearly doubles with a hacking prompt,No benign-utility measure,HIGH EVIDENCE
P21,Zhan et al. (2025) — Adaptive attacks break defenses against indirect prompt injection attacks on LLM agents,2025,"Findings of NAACL 2025, doi:10.18653/v1/2025.findings-naacl.395",Tool-using LLM agents,Adaptive indirect prompt injection,Tool outputs / external content,Not Applicable,Yes,Not Applicable,Yes,Not Reported,Not Applicable,Not Applicable,Not Applicable,Eight IPI defenses (benchmark not named in abstract),Not Reported,ASR,All eight defenses bypassed with ASR consistently over 50%,Defense set as of 2024–25,MODERATE EVIDENCE
P22,J. Shi et al. (2026) — Prompt injection attack to tool selection in LLM agents (ToolHijacker),2026,"NDSS 2026, doi:10.14722/ndss.2026.230675",LLM agents with retrieval-based tool selection,Malicious tool document injected into the tool library,Tool library / tool documents,Not Applicable,Yes,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not named in abstract,Not Reported,Attack effectiveness,"Outperforms manual and automated PI attacks on tool selection; StruQ, SecAlign, known-answer detection, DataSentinel and perplexity defenses insufficient",No figures in abstract,LIMITED EVIDENCE
P23,Jacob et al. (2025) — PromptShield: Deployable detection for prompt injection attacks,2025,"CODASPY '25 (ACM), pp. 341–352, doi:10.1145/3714393.3726501",LLM-integrated applications,Prompt injection,Conversational and application-structured inputs,Yes,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Not Reported,PromptShield benchmark (introduced),Not Reported,Detection at low false-positive rate,Fine-tuned detector significantly better than prior schemes in the low-FPR regime,No figures in abstract; input-level only,MODERATE EVIDENCE
P24,Y. Chen et al. (2025) — Defense against prompt injection attack by leveraging attack techniques,2025,"ACL 2025 (long), doi:10.18653/v1/2025.acl-long.897",LLM-integrated applications,Prompt injection in retrieved data,Retrieved content,Yes,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not named in abstract,Not Reported,Not verified,Training-free defenses built by re-applying attack techniques with the original instruction; outperform existing defenses (authors),No figures in abstract; prompt-level,LIMITED EVIDENCE
P25,Y. Liu et al. (2023) — Prompt injection attack against LLM-integrated applications (HouYi),2023,"arXiv preprint, arXiv:2306.05499",Commercial LLM-integrated applications,Black-box prompt injection,Application input,Not Applicable,Yes,Not Applicable,Not Reported,Not Applicable,Not Applicable,Not Applicable,Not Applicable,36 real applications,Not Reported,Susceptible applications,31 of 36 applications susceptible; 10 vendors validated,Preprint; application outputs rather than tool actions,MODERATE EVIDENCE
P26,Greshake et al. (2023) — Not what you've signed up for: Compromising real-world LLM-integrated applications with indirect prompt injection,2023,"AISec '23 (ACM), pp. 79–90, doi:10.1145/3605764.3623985",LLM-integrated applications with retrieval/tools,Indirect prompt injection,Data retrieved at inference time,Not Applicable,Yes,Not Applicable,Yes,Not Reported,Not Applicable,Not Applicable,Not Applicable,Bing Chat; code-completion engines; GPT-4 synthetic applications,Not Reported,Demonstrations,"Retrieved prompts can act like arbitrary code execution and control API calls; taxonomy of impacts (data theft, worming, contamination)",Demonstrations on 2023 applications,MODERATE EVIDENCE
P27,H. Zhang et al. (2025) — Agent Security Bench (ASB): Formalizing and benchmarking attacks and defenses in LLM-based agents,2025,ICLR 2025 (record: arXiv:2410.02644),LLM-based agents,"Direct/indirect PI, memory poisoning, Plan-of-Thought backdoor, mixed","System prompt, user prompt, tool use, memory retrieval",Not Applicable,Yes,Not Applicable,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,"10 scenarios, 10 agents, >400 tools, 27 methods, 7 metrics, 13 backbones",No (finance is one of 10 scenarios),ASR; utility-security metric,Highest average ASR 84.30%; current defenses show limited effectiveness,Finance not analysed separately,HIGH EVIDENCE
P28,B. Zhang et al. (2025) — Breaking agents: Compromising autonomous LLM agents through malfunction amplification,2025,"EMNLP 2025, pp. 34952–34964, doi:10.18653/v1/2025.emnlp-main.1771",Autonomous tool-using LLM agents (single and multi-agent),Malfunction amplification (repetitive or irrelevant actions),Adversarial input to agent,Not Applicable,Yes,Yes,Yes,Yes,Not Applicable,Not Applicable,Yes,Multiple scenarios (unnamed),Not Reported,Failure rate,Failure rates above 80% in multiple scenarios; harder to detect than overtly harmful attacks; self-examination defenses proposed,Defense effectiveness not quantified in abstract,MODERATE EVIDENCE
P29,Pedro et al. (2023) — From prompt injections to SQL injection attacks: How protected is your LLM-integrated web application?,2023,"arXiv preprint, arXiv:2308.01990",LangChain-based web applications with SQL tool,Prompt-to-SQL injection,User prompt,Not Applicable,Yes,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Yes,LangChain case study; 7 LLMs,Not Reported,Not verified,P2SQL attacks pervasive across seven LLMs; four defenses proposed as LangChain extensions,Preprint; no figures in abstract,LIMITED EVIDENCE
P30,Y. Zhang et al. (2024) — Towards action hijacking of large language model-based agent (AI²),2024,"arXiv preprint, arXiv:2412.10807",LLM-based applications generating action plans,Action-plan hijacking via semantically harmless prompts,User input built from application knowledge,Not Applicable,Yes,Not Applicable,Yes,Not Verified,Not Applicable,Not Applicable,Not Applicable,Three real-world applications,Not Reported,ASR; bypass rate,Average ASR 84.30% (best 99.70%); bypass 92.7% vs. common safety filters and 59.45% vs. a dedicated defense,Preprint,MODERATE EVIDENCE
P31,Yuan et al. (2024) — R-Judge: Benchmarking safety risk awareness for LLM agents,2024,"Findings of EMNLP 2024, doi:10.18653/v1/2024.findings-emnlp.79",LLMs judging agent interaction records,Behavioural safety risks in agent interactions,Not Applicable,Not Applicable,Not Applicable,Yes,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,"569 records, 27 scenarios, 5 categories, 10 risk types; 11 LLMs",Not Reported,Risk-judgement accuracy,Best model (GPT-4o) 74.42%; other models not significantly above random,"Offline judgement of records, not runtime interception; abstract via search engine",HIGH EVIDENCE
P32,Castro-Maldonado et al. (2026) — Semantic firewalls with online ensemble learning for secure agentic RAG systems in financial chatbots,2026,"AI (MDPI) 7(3), 80, doi:10.3390/ai7030080",Agentic RAG banking chatbot,Customer-data protection / security (threat model not specified in abstract),User queries and retrieved content,Yes,Yes,Not Reported,Not Verified,Not Reported,Not Reported,Yes,Not Verified,Public benchmarks (unnamed); ranking metrics,Yes,Ranking metrics (unspecified),Empirical study of a semantic firewall with online learning in a financial agentic RAG system (no figures in abstract),Threat model and results not verifiable from the record,LIMITED EVIDENCE
P33,Mou et al. (2026) — ToolSafe: Enhancing tool invocation safety of LLM-based agents via proactive step-level guardrail and feedback,2026,"Findings of ACL 2026, pp. 37125–37153, doi:10.18653/v1/2026.findings-acl.1850",ReAct-style tool-using agents,Unsafe tool invocations incl. prompt injection,Requests and tool interaction history,Yes,Yes,Yes,Yes,Yes,Not Reported,Yes,Yes,TS-Bench (introduced),Not Reported,Harmful invocations; benign completion,Guardrail (TS-Guard) detects unsafe invocations before execution; TS-Flow reduces harmful tool invocations by 65% on average and improves benign completion by about 10% under PI,Learned guardrail (RL-trained); comparators not verified,MODERATE EVIDENCE
P34,Storf et al. (2026) — Constitutional black-box monitoring for scheming in LLM agents,2026,"arXiv preprint, arXiv:2603.00829",Autonomous LLM agents,Scheming (covert pursuit of misaligned goals),Not Applicable,Yes,Not Reported,Yes,Yes,Yes,Not Reported,Yes,Not Reported,"Synthetic STRIDE/Gloom (1,000 each); 7,500 ControlArena trajectories",Not Reported,Monitor performance (not quantified in abstract),Monitors optimised on synthetic data generalise to ControlArena; performance saturates quickly and further optimisation overfits,Preprint; no figures in abstract,LIMITED EVIDENCE
P35,Ruan et al. (2024) — Identifying the risks of LM agents with an LM-emulated sandbox (ToolEmu),2024,ICLR 2024 (record: arXiv:2309.15817),Tool-using LM agents,"Risky failures without an adversary (e.g., data leakage, financial loss)",Not Applicable,Not Applicable,Not Applicable,Yes,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,"36 toolkits, 144 cases; LM-emulated tools",Not Reported,Failure rate; validity of flagged failures,68.8% of identified failures valid in human evaluation; safest agent fails 23.9% of cases,Emulated tools; LM-based evaluator,HIGH EVIDENCE
P36,Y. Wu et al. (2025) — IsolateGPT: An execution isolation architecture for LLM-based systems,2025,"NDSS 2025, doi:10.14722/ndss.2025.241131",LLM system with third-party apps,"Untrusted apps; cross-app security, privacy and safety issues",Third-party apps,Yes,Yes,Not Reported,Yes,Not Reported,Not Reported,Not Verified,Yes,Attack set (unnamed),Not Reported,Protection; overhead,Protects against many issues without loss of functionality; overhead under 30% for three-quarters of tested queries,ACE (P12) reports new attacks against IsolateGPT,MODERATE EVIDENCE
P37,"S. Wang, Zhu, & Li (2026) — Runtime policy enforcement for MCP-based LLM agents",2026,"Electronics 15(13), 2829, doi:10.3390/electronics15132829",Tool-calling (MCP) LLM agents,"Indirect prompt injection (path traversal, exfiltration, high-frequency tool abuse)",Externally retrieved data,Yes,Yes,Not Reported,Yes,Yes,Yes,Yes,Yes,"Controlled dataset, four attack classes; 30-task benign set; five backends; one real MCP transport",Not Reported,ASR; call-level false negatives; task-level false positives; overhead; tamper detection,"ASR 40.0% to 5.0% (one backend, five repeats) vs. 35.0% for the strongest prompt-only baseline; removing cross-step label propagation raises call-level false negatives by 26.4 points; task-level false positives 30.0% (mostly by-design capability denials); sub-millisecond overhead; LLaMA-3.3-70B retains 16.7% ASR","Controlled benchmark; authors frame results as mechanism-coverage evidence, not deployability",HIGH EVIDENCE
P38,H. Li et al. (2025) — DRIFT: Dynamic rule-based defense with injection isolation for securing LLM agents,2025,"NeurIPS 2025 (Advances in NeurIPS 38), pp. 92825–92853, doi:10.52202/085713-2791",Tool-using LLM agents,Prompt injection via external tools,Tool outputs; memory stream,Yes,Yes,Yes,Yes,Yes,Not Reported,Yes,Yes,AgentDojo; ASB; AgentDyn,Not Reported,Security; utility (no figures in abstract),"Secure Planner, Dynamic Validator (deviation, privilege and intent checks) and Injection Isolator; strong security with high utility across models (authors)",No figures in abstract,MODERATE EVIDENCE
P39,Luo et al. (2025) — AGrail: A lifelong agent guardrail with effective and adaptive safety detection,2025,"ACL 2025 (long), pp. 8104–8139, doi:10.18653/v1/2025.acl-long.399",LLM agents,Task-specific and systemic risks,Not Verified,Yes,Not Verified,Not Verified,Yes,Not Reported,Not Reported,Yes,Not Verified,Not Verified,Not Reported,Not Verified,"Adaptive safety checks with lifelong memory, transferred across tasks",Index record lacks abstract; details from prior verification only,LIMITED EVIDENCE
P40,Calboreanu (2026) — LATTICE: A governance-first architecture for authorized autonomous AI operations,2026,"Frontiers in Artificial Intelligence, doi:10.3389/frai.2026.1800407",Autonomous AI agents in high-consequence operations,Unauthorised actions,Not Applicable,Yes,Not Reported,Not Reported,Yes,Not Reported,Not Reported,Yes,Yes,"13 configurations x 10,000 runs; 21-vector adversarial suite; 4,000 trajectories across four planner families; live OS run",Not Reported,Verdict determinism; bypass; false-allow rate; recall; latency,"Deterministic verdicts (zero deviations); 0/21 bypass (one-sided 95% upper bound 13.3%); a confidence-threshold baseline's false-allow rate ranged 0.03–0.998 across planners, while the reference implementation admitted zero unsafe actions at a conservative operating point that auto-allowed no action; policy evaluation p50 about 6.2 microseconds, gated enforcement p50 about 0.7 ms",Single author; zero false-allow achieved at an operating point that auto-allowed no action (utility cost); architecture properties analytic under stated assumptions,HIGH EVIDENCE
P41,Y. Liu et al. (2024) — Formalizing and benchmarking prompt injection attacks and defenses,2024,"USENIX Security 2024, pp. 1831–1847",LLM-integrated applications,Prompt injection (formal framework),Data processed by the application,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5 attacks x 10 defenses x 10 LLMs x 7 tasks,Not Applicable,Not Verified,Formal framework and systematic benchmark of attacks and defenses,"LLM-integrated applications, not agents",MODERATE EVIDENCE
P42,Andriushchenko et al. (2025) — AgentHarm: A benchmark for measuring harmfulness of LLM agents,2025,ICLR 2025,Tool-using LLM agents,Malicious user requests (harmful multi-step tasks),User request,Not Applicable,Not Applicable,Not Applicable,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,"110 tasks (440 augmented), 11 harm categories",No (fraud is one harm category),Not Verified,Benchmark of harmful agentic tasks,"Malicious-user threat model, not indirect injection",MODERATE EVIDENCE
P43,Z. Chen et al. (2024) — AgentPoison: Red-teaming LLM agents via poisoning memory or knowledge bases,2024,NeurIPS 2024,"RAG/memory-based agents (driving, QA, EHR)",Memory/knowledge-base poisoning,Long-term memory / knowledge base,Not Applicable,Yes,Not Applicable,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,Three agent types,Not Reported,ASR; benign impact; poison rate,ASR at least 80% with benign impact at most 1% at poison rate below 0.1%,Three agent types; not financial,MODERATE EVIDENCE
P44,Debenedetti et al. (2024) — AgentDojo: A dynamic environment to evaluate prompt injection attacks and defenses for LLM agents,2024,NeurIPS 2024 Datasets & Benchmarks,Tool-using LLM agents,Indirect prompt injection via tool outputs,Tool outputs,Not Applicable,Yes,Not Applicable,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,"97 user tasks, 629 security test cases; Workspace, Slack, Travel, Banking suites",No (generic; contains an executable Banking suite),Utility; utility under attack; targeted ASR,Executable environment measuring utility and security jointly; evaluates defenses,Limited number of distinct tasks; database record had corrupted metadata (R016),MODERATE EVIDENCE
P45,M. Q. Li et al. (2026) — Taxonomy and consistency analysis of safety benchmarks for AI agents,2026,"arXiv preprint, arXiv:2605.16282",Agent safety benchmarks,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,40 benchmarks,Not Applicable,Kendall's W concordance,Six-axis taxonomy; no ranking concordance across benchmarks,Preprint,MODERATE EVIDENCE
P46,"Y. Wang et al. (2026) — Safety, or just capability? A validity audit of agent-safety benchmarks",2026,"arXiv preprint, arXiv:2607.28685",Agent safety benchmarks,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 benchmarks; up to 22 models,Not Applicable,F1; correlation with capability,Always-positive F1 baseline outranks five models; safety-capability correlation from -0.64 (n=7) to +0.02 (n=18),Preprint; small panels for some correlations,MODERATE EVIDENCE
P47,Hines et al. (2024) — Defending against indirect prompt injection attacks with spotlighting,2024,"arXiv preprint, arXiv:2403.14720",LLM systems processing untrusted documents,Indirect prompt injection,Untrusted documents,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Verified,Not Reported,ASR,ASR reduced from above 50% to below 2% with GPT-family models,Decision left to the model; industry preprint,MODERATE EVIDENCE
P48,S. Chen et al. (2025) — StruQ: Defending against prompt injection with structured queries,2025,USENIX Security 2025,LLM-integrated applications,Prompt injection,Data channel,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Verified,Not Reported,Not Verified,Model trained to follow only prompt-channel instructions (structured instruction tuning),Requires training and model access,LIMITED EVIDENCE
P49,T. Shi et al. (2025) — Progent: Securing AI agents with privilege control,2025,"arXiv preprint, arXiv:2504.11703",Tool-using LLM agents,Indirect prompt injection; tool misuse,Tool outputs,Yes,Not Reported,Not Reported,Yes,Yes (policy updates during task),Not Reported,Yes,Yes,AgentDojo; ASB,Not Reported,ASR; utility,ASR 39.9% to 1.0% (AgentDojo) and 70.3% to 3.9% (ASB),Binary permission decisions; depends on policy quality,MODERATE EVIDENCE
P50,"H. Wang, Poskitt, & Sun (2026) — AgentSpec: Customizable runtime enforcement for safe and reliable LLM agents",2026,"ICSE '26, doi:10.1145/3744916.3764546","Code, embodied and autonomous-driving agents",Unsafe actions,Not Applicable,Yes,Not Reported,Not Reported,Yes,Not Verified,Not Reported,Yes,Yes,"Code, embodied and AV settings",Not Reported,Unsafe executions prevented; compliance; overhead,Over 90% of unsafe code-agent executions prevented; all hazardous embodied actions eliminated; 100% AV compliance; millisecond overhead,"Requires hand-written rules; permission, not likelihood",MODERATE EVIDENCE
P51,Tsai & Bagdasarian (2025) — Contextual agent security: A policy for every purpose (Conseca),2025,"HotOS '25, pp. 8–17, doi:10.1145/3713082.3730378",General-purpose agents,Context-inappropriate actions,Not Applicable,Yes,Yes,Not Reported,Yes,Not Reported,Not Reported,Yes,Yes,Not Applicable,Not Reported,Not Applicable,Just-in-time contextual policies enforced deterministically,Vision paper; evaluation not verified,LIMITED EVIDENCE
