ID,Source record,Study,Role,Observation unit,Verification,Q1-Q10,Evidence level,Basis
P11,R031,J. Lin et al. (2026),Defense,Speculative action before commit,PARTIALLY VERIFIED,Y Y Y NV Y Y Y NV Y Y,HIGH EVIDENCE,peer-reviewed; benchmark/dataset reported; quantitative results reported; comparator reported or not applicable
P12,R035,E. Li et al. (2026),Defense,"Abstract plan, concrete plan and execution",FULLY VERIFIED,Y Y Y NV Y NV Y NV NV Y,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P13,R043,T. Liu et al. (2023),Threat analysis,Framework call chains,FULLY VERIFIED,Y Y Y NV Y Y NA NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P14,R047,X. Jia et al. (2026),Attack,Execution traces,FULLY VERIFIED,Y Y Y NV NV NV Y NV NV P,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P15,R048,Wei et al. (2026),Benchmark,Action traces in sandboxed workspaces,FULLY VERIFIED,Y Y Y NV Y Y Y NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P16,R061 (=S19),Chennabasappa et al. (2025),Defense,Inputs and chain-of-thought,FULLY VERIFIED (components only),Y Y Y Y NV NV NV NV NV P,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P17,R064,Hasan et al. (2026),Threat analysis,Server source code,FULLY VERIFIED,Y Y Y NV Y Y NA NV Y Y,HIGH EVIDENCE,peer-reviewed; benchmark/dataset reported; quantitative results reported; comparator reported or not applicable
P18,R078,"Zhu, Zhang, et al. (2025)",Defense,"Prompts, agent messages and tool use",FULLY VERIFIED,Y Y Y NV Y NV Y NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P19,R079,"Kaptein, Khan, & Podstavnychy (2026)",Analysis,Partial execution path plus proposed next action,FULLY VERIFIED,Y Y Y NV NA NA NA Y NA P,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P20,R120 (=S10),Zhan et al. (2024),Benchmark,Single tool response and next action,FULLY VERIFIED,Y Y Y NV Y Y Y NV Y Y,HIGH EVIDENCE,peer-reviewed; benchmark/dataset reported; quantitative results reported; comparator reported or not applicable
P21,R122 (=S14),Zhan et al. (2025),Attack,Agent outcome under eight defenses,FULLY VERIFIED,Y Y Y NV NV Y Y NV Y Y,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P22,R126,J. Shi et al. (2026),Attack,Tool selection,FULLY VERIFIED,Y Y Y NV NV NV Y NV NV Y,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P23,R127,Jacob et al. (2025),Defense,Input text,FULLY VERIFIED (Crossref issued-year 2024 vs. 2025 proceedings recorded),Y Y Y NV Y Y Y NV NV Y,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P24,R133,Y. Chen et al. (2025),Defense,Input prompt,FULLY VERIFIED,Y Y Y NV NV NV Y NV NV Y,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P25,R134,Y. Liu et al. (2023),Attack,Application output,FULLY VERIFIED,Y Y Y NV Y Y NA NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P26,R136 (=S09),Greshake et al. (2023),Threat analysis,Application behaviour,FULLY VERIFIED,Y Y Y NV Y NA NA NV NA Y,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P27,R139 (=S11),H. Zhang et al. (2025),Benchmark,Agent outcome per stage,FULLY VERIFIED,Y Y Y Y Y Y Y NV Y Y,HIGH EVIDENCE,peer-reviewed; benchmark/dataset reported; quantitative results reported; comparator reported or not applicable
P28,R146,B. Zhang et al. (2025),Attack,Action sequence,FULLY VERIFIED,Y Y Y NV NV NV NV Y Y Y,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P29,R151,Pedro et al. (2023),Attack,Generated SQL,FULLY VERIFIED,Y Y Y NV Y NV NA NV NV P,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P30,R154,Y. Zhang et al. (2024),Attack,Action plan,FULLY VERIFIED,Y Y Y NV Y Y Y NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P31,R157,Yuan et al. (2024),Benchmark,Multi-turn interaction record,PARTIALLY VERIFIED,Y Y Y NV Y Y Y NV Y Y,HIGH EVIDENCE,peer-reviewed; benchmark/dataset reported; quantitative results reported; comparator reported or not applicable
P32,R175,Castro-Maldonado et al. (2026),Defense,Query/response,FULLY VERIFIED (metadata and abstract),Y NV Y NV NV NV NV NV NV Y,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P33,R182,Mou et al. (2026),Defense,Each tool invocation with history,FULLY VERIFIED,Y Y Y NV Y Y NV NV Y Y,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P34,R185,Storf et al. (2026),Defense,Externally observable trajectory,FULLY VERIFIED,Y Y Y NV Y NV Y Y NV P,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P35,R187 (=S05),Ruan et al. (2024),Benchmark,Emulated trajectory,FULLY VERIFIED,Y Y Y NV Y Y Y NV Y Y,HIGH EVIDENCE,peer-reviewed; benchmark/dataset reported; quantitative results reported; comparator reported or not applicable
P36,R204,Y. Wu et al. (2025),Defense,App interactions,FULLY VERIFIED,Y Y Y NV NV Y NV NV Y Y,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P37,R207,"S. Wang, Zhu, & Li (2026)",Defense,Each tool call with cross-step labels,FULLY VERIFIED,Y Y Y Y Y Y Y Y Y Y,HIGH EVIDENCE,peer-reviewed; benchmark/dataset reported; quantitative results reported; comparator reported or not applicable
P38,R208,H. Li et al. (2025),Defense,Function trajectory vs. planned trajectory,FULLY VERIFIED,Y Y Y Y Y NV NV NV NV Y,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P39,R214 (=S30),Luo et al. (2025),Defense,Agent actions,FULLY VERIFIED (metadata; contribution),Y Y Y NV NV NV NV NV NV Y,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P40,R217,Calboreanu (2026),Defense,Proposed action at gated execution path,FULLY VERIFIED,Y Y Y Y Y Y Y Y Y Y,HIGH EVIDENCE,peer-reviewed; benchmark/dataset reported; quantitative results reported; comparator reported or not applicable
P41,S08,Y. Liu et al. (2024),Benchmark,Task output,FULLY VERIFIED,Y Y Y NV Y Y Y NV NV Y,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P42,S12,Andriushchenko et al. (2025),Benchmark,Multi-step task execution,FULLY VERIFIED,Y Y Y NV Y NV NV NV NV Y,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P43,S13,Z. Chen et al. (2024),Attack,Retrieval and resulting action,FULLY VERIFIED,Y Y Y NV Y Y NV NV Y Y,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P44,S15,Debenedetti et al. (2024),Benchmark,Task utility and attacker-goal success per episode,FULLY VERIFIED,Y Y Y NV Y Y Y NV NV Y,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P45,S16,M. Q. Li et al. (2026),Analysis,Benchmark rankings,FULLY VERIFIED,Y NA Y NV Y Y NA NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P46,S17,Y. Wang et al. (2026),Analysis,Benchmark scores,FULLY VERIFIED,Y NA Y NV Y Y Y NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P47,S21,Hines et al. (2024),Defense,Input text,FULLY VERIFIED,Y Y Y NV NV Y NV NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P48,S22,S. Chen et al. (2025),Defense,Model input,FULLY VERIFIED,Y Y Y NV NV NV NV NV NV Y,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P49,S24,T. Shi et al. (2025),Defense,Each tool call vs. privilege policy,FULLY VERIFIED,Y Y Y NV Y Y Y NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P50,S25,"H. Wang, Poskitt, & Sun (2026)",Defense,Triggered action vs. rule predicate,FULLY VERIFIED,Y Y Y NV Y Y NV NV Y Y,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P51,S26,Tsai & Bagdasarian (2025),Design,Proposed action vs. task-context policy,FULLY VERIFIED,Y Y Y NV NA NA NA NV NA Y,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P52,S27,Debenedetti et al. (2025),Defense,Program control and data flow,FULLY VERIFIED,Y Y Y NV Y Y Y NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P53,S28,Xiang et al. (2025),Defense,Target agent actions,FULLY VERIFIED,Y Y Y NV NV NV NV NV NV Y,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P54,S29,"Z. Chen, Kang, & Li (2025)",Defense,Action trajectory,FULLY VERIFIED,Y Y Y NV NV NV NV NV NV Y,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P55,S31,Hua et al. (2024),Defense,Plan,FULLY VERIFIED,Y Y Y NV NV NV NV NV NV Y,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P56,S32,Jiang et al. (2025),Defense,Intermediate thought before action,FULLY VERIFIED,Y Y Y NV Y Y NV NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P57,S34,"Zhu, Yang, et al. (2025)",Defense,Tool calls under original vs. masked re-execution,FULLY VERIFIED,Y Y Y NV NV NV NV NV NV Y,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P58,S35,She et al. (2026),Defense,Each tool call and its evidence provenance,PARTIALLY VERIFIED,Y Y Y NV Y Y Y NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P59,S36,C. L. Wang et al. (2025),Defense,Agent state and actions over time,PARTIALLY VERIFIED,Y NV Y NV Y Y NV Y Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P60,S37,F. Li (2026),Defense,Lifecycle hook events within a session,FULLY VERIFIED,Y Y Y NV NV NV NV Y NV P,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P61,S38,H. Wang et al. (2025),Defense,Abstract state sequence,FULLY VERIFIED,Y Y Y NV Y Y NV NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P62,S39,W. Lin et al. (2026),Defense,Each call with trajectory prefix,FULLY VERIFIED,Y Y Y NV NV NV NV NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P63,S40,H. Liu et al. (2026),Defense,Stateful workflow,PARTIALLY VERIFIED,Y Y Y NV Y NV NV NV NV P,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P64,S41,C. Yang (2026),Defense,Each proposed tool call (plus session chains),PARTIALLY VERIFIED,Y Y Y NV Y Y Y Y Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P65,S42,Hossain et al. (2026),Defense,Plan (with cross-turn session state),PARTIALLY VERIFIED,Y Y Y NV Y Y Y Y Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P66,S43,Jackson (2025),Design,Governed action,PARTIALLY VERIFIED,Y NV Y NV NV NV NV NV NV P,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P67,S44,H.-H. Chen (2026),Design,Each priced action,FULLY VERIFIED,Y Y Y NV NA NA NA NV NA P,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P68,S45,Z. Chen et al. (2026),Defense,Task-level transaction,FULLY VERIFIED,Y Y Y NV NV NV NV NV NV P,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P69,S46,C. Zhang et al. (2026),Analysis,Trajectory prefixes,PARTIALLY VERIFIED,Y NA Y NV Y Y Y NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P70,S64,"Z. Chen, J. Chen, et al. (2025)",Analysis,Agent task outcome,FULLY VERIFIED,Y Y Y NV Y NV NV NV NV P,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P71,S65,H. Jia et al. (2026),Defense,Query and tool call with cross-turn state,FULLY VERIFIED,Y Y Y NV Y Y Y NV Y P,LIMITED EVIDENCE,"override: All reported figures were obtained on FinVault, which has been withdrawn; they cannot serve as affirmative evidence."
